name,state,district,university_name,management_type,established_year,is_engineering,website,status
Dharwad Academy of Engineering (NIRF Rank #168),Karnataka,Dharwad,Karnataka Technological University,Private Un-Aided,1988,True,www.dharwadengg168.edu.in,approved
Mumbai Suburban Institute of Technology and Science (NIRF Rank #169),Maharashtra,Mumbai Suburban,Maharashtra Technological University,State Government,1989,True,www.mumbaisuburbanengg169.edu.in,approved
Mumbai Suburban College of Engineering and Technology (NIRF Rank #170),Maharashtra,Mumbai Suburban,Maharashtra Technological University,Private Aided,1990,True,www.mumbaisuburbanengg170.edu.in,approved
Mumbai Suburban Engineering College (NIRF Rank #171),Maharashtra,Mumbai Suburban,Maharashtra Technological University,Central Government,1991,True,www.mumbaisuburbanengg171.edu.in,approved
Mumbai Suburban Institute of Engineering and Technology (NIRF Rank #172),Maharashtra,Mumbai Suburban,Maharashtra Technological University,Private Un-Aided,1992,True,www.mumbaisuburbanengg172.edu.in,approved
Mumbai Suburban School of Engineering (NIRF Rank #173),Maharashtra,Mumbai Suburban,Maharashtra Technological University,State Government,1993,True,www.mumbaisuburbanengg173.edu.in,approved
Mumbai Suburban Technological Institute (NIRF Rank #174),Maharashtra,Mumbai Suburban,Maharashtra Technological University,Private Aided,1994,True,www.mumbaisuburbanengg174.edu.in,approved
Mumbai Suburban Academy of Engineering (NIRF Rank #175),Maharashtra,Mumbai Suburban,Maharashtra Technological University,Central Government,1995,True,www.mumbaisuburbanengg175.edu.in,approved
Pune Institute of Technology and Science (NIRF Rank #176),Maharashtra,Pune,Maharashtra Technological University,Private Un-Aided,1996,True,www.puneengg176.edu.in,approved
Pune College of Engineering and Technology (NIRF Rank #177),Maharashtra,Pune,Maharashtra Technological University,State Government,1997,True,www.puneengg177.edu.in,approved
Pune Engineering College (NIRF Rank #178),Maharashtra,Pune,Maharashtra Technological University,Private Aided,1998,True,www.puneengg178.edu.in,approved
Pune Institute of Engineering and Technology (NIRF Rank #179),Maharashtra,Pune,Maharashtra Technological University,Central Government,1999,True,www.puneengg179.edu.in,approved
Pune School of Engineering (NIRF Rank #180),Maharashtra,Pune,Maharashtra Technological University,Private Un-Aided,2000,True,www.puneengg180.edu.in,approved
Pune Technological Institute (NIRF Rank #181),Maharashtra,Pune,Maharashtra Technological University,State Government,2001,True,www.puneengg181.edu.in,approved
Pune Academy of Engineering (NIRF Rank #182),Maharashtra,Pune,Maharashtra Technological University,Private Aided,2002,True,www.puneengg182.edu.in,approved
Nagpur Institute of Technology and Science (NIRF Rank #183),Maharashtra,Nagpur,Maharashtra Technological University,Central Government,2003,True,www.nagpurengg183.edu.in,approved
Nagpur College of Engineering and Technology (NIRF Rank #184),Maharashtra,Nagpur,Maharashtra Technological University,Private Un-Aided,2004,True,www.nagpurengg184.edu.in,approved
Nagpur Engineering College (NIRF Rank #185),Maharashtra,Nagpur,Maharashtra Technological University,State Government,2005,True,www.nagpurengg185.edu.in,approved
Nagpur Institute of Engineering and Technology (NIRF Rank #186),Maharashtra,Nagpur,Maharashtra Technological University,Private Aided,2006,True,www.nagpurengg186.edu.in,approved
Nagpur School of Engineering (NIRF Rank #187),Maharashtra,Nagpur,Maharashtra Technological University,Central Government,2007,True,www.nagpurengg187.edu.in,approved
Nagpur Technological Institute (NIRF Rank #188),Maharashtra,Nagpur,Maharashtra Technological University,Private Un-Aided,2008,True,www.nagpurengg188.edu.in,approved
Nagpur Academy of Engineering (NIRF Rank #189),Maharashtra,Nagpur,Maharashtra Technological University,State Government,2009,True,www.nagpurengg189.edu.in,approved
Nashik Institute of Technology and Science (NIRF Rank #190),Maharashtra,Nashik,Maharashtra Technological University,Private Aided,2010,True,www.nashikengg190.edu.in,approved
Nashik College of Engineering and Technology (NIRF Rank #191),Maharashtra,Nashik,Maharashtra Technological University,Central Government,2011,True,www.nashikengg191.edu.in,approved
Nashik Engineering College (NIRF Rank #192),Maharashtra,Nashik,Maharashtra Technological University,Private Un-Aided,2012,True,www.nashikengg192.edu.in,approved
Nashik Institute of Engineering and Technology (NIRF Rank #193),Maharashtra,Nashik,Maharashtra Technological University,State Government,2013,True,www.nashikengg193.edu.in,approved
Nashik School of Engineering (NIRF Rank #194),Maharashtra,Nashik,Maharashtra Technological University,Private Aided,2014,True,www.nashikengg194.edu.in,approved
Nashik Technological Institute (NIRF Rank #195),Maharashtra,Nashik,Maharashtra Technological University,Central Government,2015,True,www.nashikengg195.edu.in,approved
Nashik Academy of Engineering (NIRF Rank #196),Maharashtra,Nashik,Maharashtra Technological University,Private Un-Aided,2016,True,www.nashikengg196.edu.in,approved
Aurangabad Institute of Technology and Science (NIRF Rank #197),Maharashtra,Aurangabad,Maharashtra Technological University,State Government,2017,True,www.aurangabadengg197.edu.in,approved
Aurangabad College of Engineering and Technology (NIRF Rank #198),Maharashtra,Aurangabad,Maharashtra Technological University,Private Aided,2018,True,www.aurangabadengg198.edu.in,approved
Aurangabad Engineering College (NIRF Rank #199),Maharashtra,Aurangabad,Maharashtra Technological University,Central Government,2019,True,www.aurangabadengg199.edu.in,approved
Aurangabad Institute of Engineering and Technology (NIRF Rank #200),Maharashtra,Aurangabad,Maharashtra Technological University,Private Un-Aided,1980,True,www.aurangabadengg200.edu.in,approved
Aurangabad School of Engineering (NIRF Rank #201),Maharashtra,Aurangabad,Maharashtra Technological University,State Government,1981,True,www.aurangabadengg201.edu.in,approved
Aurangabad Technological Institute (NIRF Rank #202),Maharashtra,Aurangabad,Maharashtra Technological University,Private Aided,1982,True,www.aurangabadengg202.edu.in,approved
Aurangabad Academy of Engineering (NIRF Rank #203),Maharashtra,Aurangabad,Maharashtra Technological University,Central Government,1983,True,www.aurangabadengg203.edu.in,approved
Thane Institute of Technology and Science (NIRF Rank #204),Maharashtra,Thane,Maharashtra Technological University,Private Un-Aided,1984,True,www.thaneengg204.edu.in,approved
Thane College of Engineering and Technology (NIRF Rank #205),Maharashtra,Thane,Maharashtra Technological University,State Government,1985,True,www.thaneengg205.edu.in,approved
Thane Engineering College (NIRF Rank #206),Maharashtra,Thane,Maharashtra Technological University,Private Aided,1986,True,www.thaneengg206.edu.in,approved
Thane Institute of Engineering and Technology (NIRF Rank #207),Maharashtra,Thane,Maharashtra Technological University,Central Government,1987,True,www.thaneengg207.edu.in,approved
Thane School of Engineering (NIRF Rank #208),Maharashtra,Thane,Maharashtra Technological University,Private Un-Aided,1988,True,www.thaneengg208.edu.in,approved
Thane Technological Institute (NIRF Rank #209),Maharashtra,Thane,Maharashtra Technological University,State Government,1989,True,www.thaneengg209.edu.in,approved
Thane Academy of Engineering (NIRF Rank #210),Maharashtra,Thane,Maharashtra Technological University,Private Aided,1990,True,www.thaneengg210.edu.in,approved
South Delhi Institute of Technology and Science (NIRF Rank #211),Delhi,South Delhi,Delhi Technological University,Central Government,1991,True,www.southdelhiengg211.edu.in,approved
South Delhi College of Engineering and Technology (NIRF Rank #212),Delhi,South Delhi,Delhi Technological University,Private Un-Aided,1992,True,www.southdelhiengg212.edu.in,approved
South Delhi Engineering College (NIRF Rank #213),Delhi,South Delhi,Delhi Technological University,State Government,1993,True,www.southdelhiengg213.edu.in,approved
South Delhi Institute of Engineering and Technology (NIRF Rank #214),Delhi,South Delhi,Delhi Technological University,Private Aided,1994,True,www.southdelhiengg214.edu.in,approved
South Delhi School of Engineering (NIRF Rank #215),Delhi,South Delhi,Delhi Technological University,Central Government,1995,True,www.southdelhiengg215.edu.in,approved
South Delhi Technological Institute (NIRF Rank #216),Delhi,South Delhi,Delhi Technological University,Private Un-Aided,1996,True,www.southdelhiengg216.edu.in,approved
South Delhi Academy of Engineering (NIRF Rank #217),Delhi,South Delhi,Delhi Technological University,State Government,1997,True,www.southdelhiengg217.edu.in,approved
North Delhi Institute of Technology and Science (NIRF Rank #218),Delhi,North Delhi,Delhi Technological University,Private Aided,1998,True,www.northdelhiengg218.edu.in,approved
North Delhi College of Engineering and Technology (NIRF Rank #219),Delhi,North Delhi,Delhi Technological University,Central Government,1999,True,www.northdelhiengg219.edu.in,approved
North Delhi Engineering College (NIRF Rank #220),Delhi,North Delhi,Delhi Technological University,Private Un-Aided,2000,True,www.northdelhiengg220.edu.in,approved
North Delhi Institute of Engineering and Technology (NIRF Rank #221),Delhi,North Delhi,Delhi Technological University,State Government,2001,True,www.northdelhiengg221.edu.in,approved
North Delhi School of Engineering (NIRF Rank #222),Delhi,North Delhi,Delhi Technological University,Private Aided,2002,True,www.northdelhiengg222.edu.in,approved
North Delhi Technological Institute (NIRF Rank #223),Delhi,North Delhi,Delhi Technological University,Central Government,2003,True,www.northdelhiengg223.edu.in,approved
North Delhi Academy of Engineering (NIRF Rank #224),Delhi,North Delhi,Delhi Technological University,Private Un-Aided,2004,True,www.northdelhiengg224.edu.in,approved
New Delhi Institute of Technology and Science (NIRF Rank #225),Delhi,New Delhi,Delhi Technological University,State Government,2005,True,www.newdelhiengg225.edu.in,approved
New Delhi College of Engineering and Technology (NIRF Rank #226),Delhi,New Delhi,Delhi Technological University,Private Aided,2006,True,www.newdelhiengg226.edu.in,approved
New Delhi Engineering College (NIRF Rank #227),Delhi,New Delhi,Delhi Technological University,Central Government,2007,True,www.newdelhiengg227.edu.in,approved
New Delhi Institute of Engineering and Technology (NIRF Rank #228),Delhi,New Delhi,Delhi Technological University,Private Un-Aided,2008,True,www.newdelhiengg228.edu.in,approved
New Delhi School of Engineering (NIRF Rank #229),Delhi,New Delhi,Delhi Technological University,State Government,2009,True,www.newdelhiengg229.edu.in,approved
New Delhi Technological Institute (NIRF Rank #230),Delhi,New Delhi,Delhi Technological University,Private Aided,2010,True,www.newdelhiengg230.edu.in,approved
New Delhi Academy of Engineering (NIRF Rank #231),Delhi,New Delhi,Delhi Technological University,Central Government,2011,True,www.newdelhiengg231.edu.in,approved
South West Delhi Institute of Technology and Science (NIRF Rank #232),Delhi,South West Delhi,Delhi Technological University,Private Un-Aided,2012,True,www.southwestdelhiengg232.edu.in,approved
South West Delhi College of Engineering and Technology (NIRF Rank #233),Delhi,South West Delhi,Delhi Technological University,State Government,2013,True,www.southwestdelhiengg233.edu.in,approved
South West Delhi Engineering College (NIRF Rank #234),Delhi,South West Delhi,Delhi Technological University,Private Aided,2014,True,www.southwestdelhiengg234.edu.in,approved
South West Delhi Institute of Engineering and Technology (NIRF Rank #235),Delhi,South West Delhi,Delhi Technological University,Central Government,2015,True,www.southwestdelhiengg235.edu.in,approved
South West Delhi School of Engineering (NIRF Rank #236),Delhi,South West Delhi,Delhi Technological University,Private Un-Aided,2016,True,www.southwestdelhiengg236.edu.in,approved
South West Delhi Technological Institute (NIRF Rank #237),Delhi,South West Delhi,Delhi Technological University,State Government,2017,True,www.southwestdelhiengg237.edu.in,approved
South West Delhi Academy of Engineering (NIRF Rank #238),Delhi,South West Delhi,Delhi Technological University,Private Aided,2018,True,www.southwestdelhiengg238.edu.in,approved
North West Delhi Institute of Technology and Science (NIRF Rank #239),Delhi,North West Delhi,Delhi Technological University,Central Government,2019,True,www.northwestdelhiengg239.edu.in,approved
North West Delhi College of Engineering and Technology (NIRF Rank #240),Delhi,North West Delhi,Delhi Technological University,Private Un-Aided,1980,True,www.northwestdelhiengg240.edu.in,approved
North West Delhi Engineering College (NIRF Rank #241),Delhi,North West Delhi,Delhi Technological University,State Government,1981,True,www.northwestdelhiengg241.edu.in,approved
North West Delhi Institute of Engineering and Technology (NIRF Rank #242),Delhi,North West Delhi,Delhi Technological University,Private Aided,1982,True,www.northwestdelhiengg242.edu.in,approved
North West Delhi School of Engineering (NIRF Rank #243),Delhi,North West Delhi,Delhi Technological University,Central Government,1983,True,www.northwestdelhiengg243.edu.in,approved
North West Delhi Technological Institute (NIRF Rank #244),Delhi,North West Delhi,Delhi Technological University,Private Un-Aided,1984,True,www.northwestdelhiengg244.edu.in,approved
North West Delhi Academy of Engineering (NIRF Rank #245),Delhi,North West Delhi,Delhi Technological University,State Government,1985,True,www.northwestdelhiengg245.edu.in,approved
Gautam Buddha Nagar Institute of Technology and Science (NIRF Rank #246),Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh Technological University,Private Aided,1986,True,www.gautambuddhanagarengg246.edu.in,approved
Gautam Buddha Nagar College of Engineering and Technology (NIRF Rank #247),Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh Technological University,Central Government,1987,True,www.gautambuddhanagarengg247.edu.in,approved
Gautam Buddha Nagar Engineering College (NIRF Rank #248),Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh Technological University,Private Un-Aided,1988,True,www.gautambuddhanagarengg248.edu.in,approved
Gautam Buddha Nagar Institute of Engineering and Technology (NIRF Rank #249),Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh Technological University,State Government,1989,True,www.gautambuddhanagarengg249.edu.in,approved
Gautam Buddha Nagar School of Engineering (NIRF Rank #250),Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh Technological University,Private Aided,1990,True,www.gautambuddhanagarengg250.edu.in,approved
Gautam Buddha Nagar Technological Institute (NIRF Rank #251),Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh Technological University,Central Government,1991,True,www.gautambuddhanagarengg251.edu.in,approved
Gautam Buddha Nagar Academy of Engineering (NIRF Rank #252),Uttar Pradesh,Gautam Buddha Nagar,Uttar Pradesh Technological University,Private Un-Aided,1992,True,www.gautambuddhanagarengg252.edu.in,approved
Ghaziabad Institute of Technology and Science (NIRF Rank #253),Uttar Pradesh,Ghaziabad,Uttar Pradesh Technological University,State Government,1993,True,www.ghaziabadengg253.edu.in,approved
Ghaziabad College of Engineering and Technology (NIRF Rank #254),Uttar Pradesh,Ghaziabad,Uttar Pradesh Technological University,Private Aided,1994,True,www.ghaziabadengg254.edu.in,approved
Ghaziabad Engineering College (NIRF Rank #255),Uttar Pradesh,Ghaziabad,Uttar Pradesh Technological University,Central Government,1995,True,www.ghaziabadengg255.edu.in,approved
Ghaziabad Institute of Engineering and Technology (NIRF Rank #256),Uttar Pradesh,Ghaziabad,Uttar Pradesh Technological University,Private Un-Aided,1996,True,www.ghaziabadengg256.edu.in,approved
Ghaziabad School of Engineering (NIRF Rank #257),Uttar Pradesh,Ghaziabad,Uttar Pradesh Technological University,State Government,1997,True,www.ghaziabadengg257.edu.in,approved
Ghaziabad Technological Institute (NIRF Rank #258),Uttar Pradesh,Ghaziabad,Uttar Pradesh Technological University,Private Aided,1998,True,www.ghaziabadengg258.edu.in,approved
Ghaziabad Academy of Engineering (NIRF Rank #259),Uttar Pradesh,Ghaziabad,Uttar Pradesh Technological University,Central Government,1999,True,www.ghaziabadengg259.edu.in,approved
Kanpur Nagar Institute of Technology and Science (NIRF Rank #260),Uttar Pradesh,Kanpur Nagar,Uttar Pradesh Technological University,Private Un-Aided,2000,True,www.kanpurnagarengg260.edu.in,approved
Kanpur Nagar College of Engineering and Technology (NIRF Rank #261),Uttar Pradesh,Kanpur Nagar,Uttar Pradesh Technological University,State Government,2001,True,www.kanpurnagarengg261.edu.in,approved
Kanpur Nagar Engineering College (NIRF Rank #262),Uttar Pradesh,Kanpur Nagar,Uttar Pradesh Technological University,Private Aided,2002,True,www.kanpurnagarengg262.edu.in,approved
Kanpur Nagar Institute of Engineering and Technology (NIRF Rank #263),Uttar Pradesh,Kanpur Nagar,Uttar Pradesh Technological University,Central Government,2003,True,www.kanpurnagarengg263.edu.in,approved
Kanpur Nagar School of Engineering (NIRF Rank #264),Uttar Pradesh,Kanpur Nagar,Uttar Pradesh Technological University,Private Un-Aided,2004,True,www.kanpurnagarengg264.edu.in,approved
Kanpur Nagar Technological Institute (NIRF Rank #265),Uttar Pradesh,Kanpur Nagar,Uttar Pradesh Technological University,State Government,2005,True,www.kanpurnagarengg265.edu.in,approved
Kanpur Nagar Academy of Engineering (NIRF Rank #266),Uttar Pradesh,Kanpur Nagar,Uttar Pradesh Technological University,Private Aided,2006,True,www.kanpurnagarengg266.edu.in,approved
Varanasi Institute of Technology and Science (NIRF Rank #267),Uttar Pradesh,Varanasi,Uttar Pradesh Technological University,Central Government,2007,True,www.varanasiengg267.edu.in,approved
Varanasi College of Engineering and Technology (NIRF Rank #268),Uttar Pradesh,Varanasi,Uttar Pradesh Technological University,Private Un-Aided,2008,True,www.varanasiengg268.edu.in,approved
Varanasi Engineering College (NIRF Rank #269),Uttar Pradesh,Varanasi,Uttar Pradesh Technological University,State Government,2009,True,www.varanasiengg269.edu.in,approved
Varanasi Institute of Engineering and Technology (NIRF Rank #270),Uttar Pradesh,Varanasi,Uttar Pradesh Technological University,Private Aided,2010,True,www.varanasiengg270.edu.in,approved
Varanasi School of Engineering (NIRF Rank #271),Uttar Pradesh,Varanasi,Uttar Pradesh Technological University,Central Government,2011,True,www.varanasiengg271.edu.in,approved
Varanasi Technological Institute (NIRF Rank #272),Uttar Pradesh,Varanasi,Uttar Pradesh Technological University,Private Un-Aided,2012,True,www.varanasiengg272.edu.in,approved
Varanasi Academy of Engineering (NIRF Rank #273),Uttar Pradesh,Varanasi,Uttar Pradesh Technological University,State Government,2013,True,www.varanasiengg273.edu.in,approved
Lucknow Institute of Technology and Science (NIRF Rank #274),Uttar Pradesh,Lucknow,Uttar Pradesh Technological University,Private Aided,2014,True,www.lucknowengg274.edu.in,approved
Lucknow College of Engineering and Technology (NIRF Rank #275),Uttar Pradesh,Lucknow,Uttar Pradesh Technological University,Central Government,2015,True,www.lucknowengg275.edu.in,approved
Lucknow Engineering College (NIRF Rank #276),Uttar Pradesh,Lucknow,Uttar Pradesh Technological University,Private Un-Aided,2016,True,www.lucknowengg276.edu.in,approved
Lucknow Institute of Engineering and Technology (NIRF Rank #277),Uttar Pradesh,Lucknow,Uttar Pradesh Technological University,State Government,2017,True,www.lucknowengg277.edu.in,approved
Lucknow School of Engineering (NIRF Rank #278),Uttar Pradesh,Lucknow,Uttar Pradesh Technological University,Private Aided,2018,True,www.lucknowengg278.edu.in,approved
Lucknow Technological Institute (NIRF Rank #279),Uttar Pradesh,Lucknow,Uttar Pradesh Technological University,Central Government,2019,True,www.lucknowengg279.edu.in,approved
Lucknow Academy of Engineering (NIRF Rank #280),Uttar Pradesh,Lucknow,Uttar Pradesh Technological University,Private Un-Aided,1980,True,www.lucknowengg280.edu.in,approved
Allahabad Institute of Technology and Science (NIRF Rank #281),Uttar Pradesh,Allahabad,Uttar Pradesh Technological University,State Government,1981,True,www.allahabadengg281.edu.in,approved
Allahabad College of Engineering and Technology (NIRF Rank #282),Uttar Pradesh,Allahabad,Uttar Pradesh Technological University,Private Aided,1982,True,www.allahabadengg282.edu.in,approved
Allahabad Engineering College (NIRF Rank #283),Uttar Pradesh,Allahabad,Uttar Pradesh Technological University,Central Government,1983,True,www.allahabadengg283.edu.in,approved
Allahabad Institute of Engineering and Technology (NIRF Rank #284),Uttar Pradesh,Allahabad,Uttar Pradesh Technological University,Private Un-Aided,1984,True,www.allahabadengg284.edu.in,approved
Allahabad School of Engineering (NIRF Rank #285),Uttar Pradesh,Allahabad,Uttar Pradesh Technological University,State Government,1985,True,www.allahabadengg285.edu.in,approved
Allahabad Technological Institute (NIRF Rank #286),Uttar Pradesh,Allahabad,Uttar Pradesh Technological University,Private Aided,1986,True,www.allahabadengg286.edu.in,approved
Allahabad Academy of Engineering (NIRF Rank #287),Uttar Pradesh,Allahabad,Uttar Pradesh Technological University,Central Government,1987,True,www.allahabadengg287.edu.in,approved
Kolkata Institute of Technology and Science (NIRF Rank #288),West Bengal,Kolkata,West Bengal Technological University,Private Un-Aided,1988,True,www.kolkataengg288.edu.in,approved
Kolkata College of Engineering and Technology (NIRF Rank #289),West Bengal,Kolkata,West Bengal Technological University,State Government,1989,True,www.kolkataengg289.edu.in,approved
Kolkata Engineering College (NIRF Rank #290),West Bengal,Kolkata,West Bengal Technological University,Private Aided,1990,True,www.kolkataengg290.edu.in,approved
Kolkata Institute of Engineering and Technology (NIRF Rank #291),West Bengal,Kolkata,West Bengal Technological University,Central Government,1991,True,www.kolkataengg291.edu.in,approved
Kolkata School of Engineering (NIRF Rank #292),West Bengal,Kolkata,West Bengal Technological University,Private Un-Aided,1992,True,www.kolkataengg292.edu.in,approved
Kolkata Technological Institute (NIRF Rank #293),West Bengal,Kolkata,West Bengal Technological University,State Government,1993,True,www.kolkataengg293.edu.in,approved
Kolkata Academy of Engineering (NIRF Rank #294),West Bengal,Kolkata,West Bengal Technological University,Private Aided,1994,True,www.kolkataengg294.edu.in,approved
Paschim Medinipur Institute of Technology and Science (NIRF Rank #295),West Bengal,Paschim Medinipur,West Bengal Technological University,Central Government,1995,True,www.paschimmedinipurengg295.edu.in,approved
Paschim Medinipur College of Engineering and Technology (NIRF Rank #296),West Bengal,Paschim Medinipur,West Bengal Technological University,Private Un-Aided,1996,True,www.paschimmedinipurengg296.edu.in,approved
Paschim Medinipur Engineering College (NIRF Rank #297),West Bengal,Paschim Medinipur,West Bengal Technological University,State Government,1997,True,www.paschimmedinipurengg297.edu.in,approved
Paschim Medinipur Institute of Engineering and Technology (NIRF Rank #298),West Bengal,Paschim Medinipur,West Bengal Technological University,Private Aided,1998,True,www.paschimmedinipurengg298.edu.in,approved
Paschim Medinipur School of Engineering (NIRF Rank #299),West Bengal,Paschim Medinipur,West Bengal Technological University,Central Government,1999,True,www.paschimmedinipurengg299.edu.in,approved
Paschim Medinipur Technological Institute (NIRF Rank #300),West Bengal,Paschim Medinipur,West Bengal Technological University,Private Un-Aided,2000,True,www.paschimmedinipurengg300.edu.in,approved
Paschim Medinipur Academy of Engineering (NIRF Rank #301),West Bengal,Paschim Medinipur,West Bengal Technological University,State Government,2001,True,www.paschimmedinipurengg301.edu.in,approved
Howrah Institute of Technology and Science (NIRF Rank #302),West Bengal,Howrah,West Bengal Technological University,Private Aided,2002,True,www.howrahengg302.edu.in,approved
Howrah College of Engineering and Technology (NIRF Rank #303),West Bengal,Howrah,West Bengal Technological University,Central Government,2003,True,www.howrahengg303.edu.in,approved
Howrah Engineering College (NIRF Rank #304),West Bengal,Howrah,West Bengal Technological University,Private Un-Aided,2004,True,www.howrahengg304.edu.in,approved
Howrah Institute of Engineering and Technology (NIRF Rank #305),West Bengal,Howrah,West Bengal Technological University,State Government,2005,True,www.howrahengg305.edu.in,approved
Howrah School of Engineering (NIRF Rank #306),West Bengal,Howrah,West Bengal Technological University,Private Aided,2006,True,www.howrahengg306.edu.in,approved
Howrah Technological Institute (NIRF Rank #307),West Bengal,Howrah,West Bengal Technological University,Central Government,2007,True,www.howrahengg307.edu.in,approved
Howrah Academy of Engineering (NIRF Rank #308),West Bengal,Howrah,West Bengal Technological University,Private Un-Aided,2008,True,www.howrahengg308.edu.in,approved
North 24 Parganas Institute of Technology and Science (NIRF Rank #309),West Bengal,North 24 Parganas,West Bengal Technological University,State Government,2009,True,www.north24parganasengg309.edu.in,approved
North 24 Parganas College of Engineering and Technology (NIRF Rank #310),West Bengal,North 24 Parganas,West Bengal Technological University,Private Aided,2010,True,www.north24parganasengg310.edu.in,approved
North 24 Parganas Engineering College (NIRF Rank #311),West Bengal,North 24 Parganas,West Bengal Technological University,Central Government,2011,True,www.north24parganasengg311.edu.in,approved
North 24 Parganas Institute of Engineering and Technology (NIRF Rank #312),West Bengal,North 24 Parganas,West Bengal Technological University,Private Un-Aided,2012,True,www.north24parganasengg312.edu.in,approved
North 24 Parganas School of Engineering (NIRF Rank #313),West Bengal,North 24 Parganas,West Bengal Technological University,State Government,2013,True,www.north24parganasengg313.edu.in,approved
North 24 Parganas Technological Institute (NIRF Rank #314),West Bengal,North 24 Parganas,West Bengal Technological University,Private Aided,2014,True,www.north24parganasengg314.edu.in,approved
North 24 Parganas Academy of Engineering (NIRF Rank #315),West Bengal,North 24 Parganas,West Bengal Technological University,Central Government,2015,True,www.north24parganasengg315.edu.in,approved
Nadia Institute of Technology and Science (NIRF Rank #316),West Bengal,Nadia,West Bengal Technological University,Private Un-Aided,2016,True,www.nadiaengg316.edu.in,approved
Nadia College of Engineering and Technology (NIRF Rank #317),West Bengal,Nadia,West Bengal Technological University,State Government,2017,True,www.nadiaengg317.edu.in,approved
Nadia Engineering College (NIRF Rank #318),West Bengal,Nadia,West Bengal Technological University,Private Aided,2018,True,www.nadiaengg318.edu.in,approved
Nadia Institute of Engineering and Technology (NIRF Rank #319),West Bengal,Nadia,West Bengal Technological University,Central Government,2019,True,www.nadiaengg319.edu.in,approved
Nadia School of Engineering (NIRF Rank #320),West Bengal,Nadia,West Bengal Technological University,Private Un-Aided,1980,True,www.nadiaengg320.edu.in,approved
Nadia Technological Institute (NIRF Rank #321),West Bengal,Nadia,West Bengal Technological University,State Government,1981,True,www.nadiaengg321.edu.in,approved
Nadia Academy of Engineering (NIRF Rank #322),West Bengal,Nadia,West Bengal Technological University,Private Aided,1982,True,www.nadiaengg322.edu.in,approved
Ahmadabad Institute of Technology and Science (NIRF Rank #323),Gujarat,Ahmadabad,Gujarat Technological University,Central Government,1983,True,www.ahmadabadengg323.edu.in,approved
Ahmadabad College of Engineering and Technology (NIRF Rank #324),Gujarat,Ahmadabad,Gujarat Technological University,Private Un-Aided,1984,True,www.ahmadabadengg324.edu.in,approved
Ahmadabad Engineering College (NIRF Rank #325),Gujarat,Ahmadabad,Gujarat Technological University,State Government,1985,True,www.ahmadabadengg325.edu.in,approved
Ahmadabad Institute of Engineering and Technology (NIRF Rank #326),Gujarat,Ahmadabad,Gujarat Technological University,Private Aided,1986,True,www.ahmadabadengg326.edu.in,approved
Ahmadabad School of Engineering (NIRF Rank #327),Gujarat,Ahmadabad,Gujarat Technological University,Central Government,1987,True,www.ahmadabadengg327.edu.in,approved
Ahmadabad Technological Institute (NIRF Rank #328),Gujarat,Ahmadabad,Gujarat Technological University,Private Un-Aided,1988,True,www.ahmadabadengg328.edu.in,approved
Ahmadabad Academy of Engineering (NIRF Rank #329),Gujarat,Ahmadabad,Gujarat Technological University,State Government,1989,True,www.ahmadabadengg329.edu.in,approved
Gandhinagar Institute of Technology and Science (NIRF Rank #330),Gujarat,Gandhinagar,Gujarat Technological University,Private Aided,1990,True,www.gandhinagarengg330.edu.in,approved
Gandhinagar College of Engineering and Technology (NIRF Rank #331),Gujarat,Gandhinagar,Gujarat Technological University,Central Government,1991,True,www.gandhinagarengg331.edu.in,approved
Gandhinagar Engineering College (NIRF Rank #332),Gujarat,Gandhinagar,Gujarat Technological University,Private Un-Aided,1992,True,www.gandhinagarengg332.edu.in,approved
Gandhinagar Institute of Engineering and Technology (NIRF Rank #333),Gujarat,Gandhinagar,Gujarat Technological University,State Government,1993,True,www.gandhinagarengg333.edu.in,approved
Gandhinagar School of Engineering (NIRF Rank #334),Gujarat,Gandhinagar,Gujarat Technological University,Private Aided,1994,True,www.gandhinagarengg334.edu.in,approved
Gandhinagar Technological Institute (NIRF Rank #335),Gujarat,Gandhinagar,Gujarat Technological University,Central Government,1995,True,www.gandhinagarengg335.edu.in,approved
Gandhinagar Academy of Engineering (NIRF Rank #336),Gujarat,Gandhinagar,Gujarat Technological University,Private Un-Aided,1996,True,www.gandhinagarengg336.edu.in,approved
Surat Institute of Technology and Science (NIRF Rank #337),Gujarat,Surat,Gujarat Technological University,State Government,1997,True,www.suratengg337.edu.in,approved
Surat College of Engineering and Technology (NIRF Rank #338),Gujarat,Surat,Gujarat Technological University,Private Aided,1998,True,www.suratengg338.edu.in,approved
Surat Engineering College (NIRF Rank #339),Gujarat,Surat,Gujarat Technological University,Central Government,1999,True,www.suratengg339.edu.in,approved
Surat Institute of Engineering and Technology (NIRF Rank #340),Gujarat,Surat,Gujarat Technological University,Private Un-Aided,2000,True,www.suratengg340.edu.in,approved
Surat School of Engineering (NIRF Rank #341),Gujarat,Surat,Gujarat Technological University,State Government,2001,True,www.suratengg341.edu.in,approved
